ID	symbol	lfc.16h	p.16h
ENSMUSG00000000001	Gnai3	0.145437033215578	0.628602734997153
ENSMUSG00000000003	Pbsn	0	1
ENSMUSG00000000028	Cdc45	0.0544882833014297	0.937211752944375
ENSMUSG00000000031	H19	0	1
ENSMUSG00000000037	Scml2	0	1
ENSMUSG00000000049	Apoh	0	1
ENSMUSG00000000056	Narf	0.41934582689048	0.094671127560399
ENSMUSG00000000058	Cav2	-0.356763060152667	0.228647410993642
ENSMUSG00000000078	Klf6	-0.045622967476505	0.907379462643818
ENSMUSG00000000085	Scmh1	-0.462137561246127	0.225653150055291
ENSMUSG00000000088	Cox5a	-0.199660647019745	0.53791435702838
ENSMUSG00000000093	Tbx2	0	1
ENSMUSG00000000094	Tbx4	0	1
ENSMUSG00000000103	Zfy2	0	1
ENSMUSG00000000120	Ngfr	0	1
ENSMUSG00000000125	Wnt3	0	1
ENSMUSG00000000126	Wnt9a	0	1
ENSMUSG00000000127	Fer	-0.430297573924649	0.107869951181842
ENSMUSG00000000131	Xpo6	-0.21288695530538	0.623360149904327
ENSMUSG00000000134	Tfe3	0.039004608723953	0.926381036913761
ENSMUSG00000000142	Axin2	0	1
ENSMUSG00000000148	Brat1	-0.0894120395397332	0.830432451093722
ENSMUSG00000000149	Gna12	-0.343404665329722	0.213909955552901
ENSMUSG00000000154	Slc22a18	-1.58016146838305	0.13083874996291
ENSMUSG00000000157	Itgb2l	0.105734018006801	0.926310028889439
ENSMUSG00000000159	Igsf5	0	1
ENSMUSG00000000167	Pih1d2	0.215866579008626	0.768346207656941
ENSMUSG00000000168	Dlat	0.211308477108272	0.396279781834534
ENSMUSG00000000171	Sdhd	0.237257262307953	0.39504437456626
ENSMUSG00000000182	Fgf23	0	1
ENSMUSG00000000183	Fgf6	0	1
ENSMUSG00000000184	Ccnd2	-0.720181203152775	0.137899306126875
ENSMUSG00000000194	Gpr107	-0.177089611980123	0.561441684103292
ENSMUSG00000000197	Nalcn	0	1
ENSMUSG00000000202	Btbd17	0	1
ENSMUSG00000000204	Slfn4	-0.65619720060644	0.34829470350137
ENSMUSG00000000214	Th	0	1
ENSMUSG00000000215	Ins2	0	1
ENSMUSG00000000216	Scnn1g	0	1
ENSMUSG00000000223	Drp2	0	1
ENSMUSG00000000244	Tspan32	-7.23560383634548e-05	0.999894145542433
ENSMUSG00000000247	Lhx2	0	1
ENSMUSG00000000248	Clec2g	0	1
ENSMUSG00000000253	Gmpr	-0.266368642155	0.495227378474106
ENSMUSG00000000263	Glra1	0	1
ENSMUSG00000000266	Mid2	0	1
ENSMUSG00000000275	Trim25	0.263301140805618	0.266318634055863
ENSMUSG00000000276	Dgke	0.279549121686297	0.409567026967741
ENSMUSG00000000278	Scpep1	-0.552490827747454	0.036927603073706
ENSMUSG00000000282	Mnt	-0.29911936172781	0.400882076548796
ENSMUSG00000000290	Itgb2	-0.0278521666903063	0.9471385768085
ENSMUSG00000000295	Hddc2	0.389793185740734	0.30814992351695
ENSMUSG00000000296	Tpd52l1	0	1
ENSMUSG00000000301	Pemt	0.080159607053401	0.888369634739028
ENSMUSG00000000303	Cdh1	0	1
ENSMUSG00000000305	Cdh4	0	1
ENSMUSG00000000308	Ckmt1	0	1
ENSMUSG00000000317	Bcl6b	0	1
ENSMUSG00000000318	Clec10a	-1.03493655380939	0.0537473773860767
ENSMUSG00000000320	Alox12	0	1
ENSMUSG00000000325	Arvcf	-0.956721001126711	0.0802881073690362
ENSMUSG00000000326	Comt	-0.46538153698804	0.043015160712745
ENSMUSG00000000339	Rtca	0.0773055456259467	0.792120474176721
ENSMUSG00000000340	Dbt	0.133447804350332	0.672391030554604
ENSMUSG00000000346	Dazap2	-0.196365702441397	0.427750318307381
ENSMUSG00000000355	Mcts1	0.179870913665837	0.636899468896507
ENSMUSG00000000359	Rem1	0	1
ENSMUSG00000000365	Rnf17	0.550833145157457	0.488585244743635
ENSMUSG00000000374	Trappc10	-0.0506960674127617	0.89709946678556
ENSMUSG00000000378	Ccm2	-0.380509163331498	0.0952116144048923
ENSMUSG00000000381	Wap	0	1
ENSMUSG00000000384	Tbrg4	0.128997649006828	0.677478274200009
ENSMUSG00000000385	Tmprss2	0	1
ENSMUSG00000000386	Mx1	-1.36575115605697	0.0010085811813747
ENSMUSG00000000392	Fap	-0.308191368113637	0.68268642247193
ENSMUSG00000000394	Gcg	0	1
ENSMUSG00000000399	Ndufa9	0.14292437585416	0.650128055558845
ENSMUSG00000000402	Egfl6	0	1
ENSMUSG00000000409	Lck	-0.512193771901659	0.522775791264508
ENSMUSG00000000411	Tssk3	0	1
ENSMUSG00000000416	Cttnbp2	0	1
ENSMUSG00000000420	Galnt1	0.0664877918731134	0.853515909999505
ENSMUSG00000000435	Myf5	0	1
ENSMUSG00000000439	Mkrn2	0.0732099671941839	0.814442028906891
ENSMUSG00000000440	Pparg	0.0653462019330048	0.883673446020677
ENSMUSG00000000441	Raf1	-0.0592229732351939	0.853938243021022
ENSMUSG00000000486	Sept1	-0.718273191062401	0.603059790788386
ENSMUSG00000000489	Pdgfb	-0.179515290972815	0.603851545816904
ENSMUSG00000000530	Acvrl1	-0.249356264634409	0.457362035989675
ENSMUSG00000000531	Grasp	0	1
ENSMUSG00000000532	Acvr1b	0.238204681370224	0.463969074956246
ENSMUSG00000000538	Tom1l2	0.00609355180195498	0.990434393253593
ENSMUSG00000000544	Gpa33	0	1
ENSMUSG00000000552	Zfp385a	-0.825106534330547	0.0157999615321046
ENSMUSG00000000555	Itga5	1.14078366247192	0.00700285909903444
ENSMUSG00000000560	Gabra2	0	1
ENSMUSG00000000561	Wdr77	0.239784080283687	0.368543103252506
ENSMUSG00000000562	Adora3	0.140453423596973	0.854437174455936
ENSMUSG00000000563	Atp5f1	0.177627001843289	0.652659294258556
ENSMUSG00000000567	Sox9	0	1
ENSMUSG00000000568	Hnrnpd	0.115677561308164	0.786349977472372
ENSMUSG00000000579	Dynlt1c	0	1
ENSMUSG00000000581	C1d	0.130229741524444	0.741230124455582
ENSMUSG00000000594	Gm2a	-0.308579000339562	0.172489334517762
ENSMUSG00000000600	Krit1	0.238687113430863	0.328013916657193
ENSMUSG00000000605	Clcn4	0.0841342577591819	0.792271521111169
ENSMUSG00000000606	Vmn2r88	0	1
ENSMUSG00000000617	Grm6	0	1
ENSMUSG00000000627	Sema4f	0	1
ENSMUSG00000000628	Hk2	0.258206986471278	0.477026029103837
ENSMUSG00000000631	Myo18a	-0.429854270154401	0.343913251459333
ENSMUSG00000000632	Sez6	0	1
ENSMUSG00000000673	Haao	0	1
ENSMUSG00000000682	Cd52	-0.145874199741611	0.681282000073961
ENSMUSG00000000686	Abhd15	-1.0858987500071	0.0237705491008142
ENSMUSG00000000690	Hoxb6	0	1
ENSMUSG00000000693	Loxl3	-1.32190296330089	0.00102385745472725
ENSMUSG00000000701	Tcl1b5	0	1
ENSMUSG00000000706	Btn1a1	0	1
ENSMUSG00000000708	Kat2b	-0.0759036523215085	0.802680102625458
ENSMUSG00000000711	Rab5b	-0.131502855670182	0.695013157578797
ENSMUSG00000000724	Cryba1	0	1
ENSMUSG00000000730	Dnmt3l	2.59796612045059	0.000901916867735746
ENSMUSG00000000731	Aire	0	1
ENSMUSG00000000732	Icosl	-0.282447894225742	0.438044449474197
ENSMUSG00000000738	Spg7	-0.24728026450099	0.395755783933531
ENSMUSG00000000739	Sult5a1	0	1
ENSMUSG00000000740	Rpl13	0.418868748371767	0.6063818138592
ENSMUSG00000000743	Chmp1a	-0.0672998108632183	0.838535785573127
ENSMUSG00000000751	Rpa1	-0.133222915704135	0.631996714516992
ENSMUSG00000000753	Serpinf1	-0.809299458646314	0.194503550329207
ENSMUSG00000000759	Tubgcp3	-0.0161230526614346	0.963525902149778
ENSMUSG00000000766	Oprm1	0	1
ENSMUSG00000000776	Polr3d	0.121995060901644	0.77323066491298
ENSMUSG00000000782	Tcf7	0	1
ENSMUSG00000000787	Ddx3x	0.0178715348315614	0.969505088059762
ENSMUSG00000000791	Il12rb1	0	1
ENSMUSG00000000792	Slc5a5	0	1
ENSMUSG00000000794	Kcnn3	0	1
ENSMUSG00000000804	Usp32	-0.0524232301991703	0.894519485724063
ENSMUSG00000000805	Car4	0	1
ENSMUSG00000000811	Txnrd3	-0.0935866122882189	0.848384243466369
ENSMUSG00000000817	Fasl	0	1
ENSMUSG00000000823	Zfp512b	-0.323196764404038	0.420536964971111
ENSMUSG00000000826	Dnajc5	-0.0200935713764255	0.963795541662332
ENSMUSG00000000827	Tpd52l2	0.0828859035303534	0.803319412445267
ENSMUSG00000000838	Fmr1	-0.238731677523135	0.3875702333118
ENSMUSG00000000861	Bcl11a	-0.201471720186202	0.827143744157678
ENSMUSG00000000869	Il4	0	1
ENSMUSG00000000876	Pxmp4	-0.08828321855065	0.802407056390432
ENSMUSG00000000881	Dlg3	-0.0783442707013042	0.882640347546433
ENSMUSG00000000884	Gnb1l	-0.0457339195863246	0.921430985527233
ENSMUSG00000000889	Dbh	0	1
ENSMUSG00000000901	Mmp11	0	1
ENSMUSG00000000902	Smarcb1	0.0955978880991366	0.729448689215646
ENSMUSG00000000903	Vpreb3	0	1
ENSMUSG00000000915	Hip1r	0.668393046867897	0.150558593832174
ENSMUSG00000000916	Nsun5	0.341125380157416	0.216627520256166
ENSMUSG00000000934	Top1mt	-0.215525159735003	0.713337424637288
ENSMUSG00000000938	Hoxa10	0	1
ENSMUSG00000000942	Hoxa4	0.197826506896261	0.853515909999505
ENSMUSG00000000948	Gm38393	0	1
ENSMUSG00000000957	Mmp14	1.30458695692898	0.00842789753668956
ENSMUSG00000000958	Slc7a7	-0.302102059661757	0.311885373261121
ENSMUSG00000000959	Oxa1l	-0.0262776216879059	0.942436871819976
ENSMUSG00000000976	Heatr6	0.688993375925137	0.0374977188911215
ENSMUSG00000000982	Ccl3	1.41733419956419	0.000739274480143589
ENSMUSG00000000983	Wfdc18	1.02716789232454	0.00712333663674589
ENSMUSG00000001014	Icam4	0	1
ENSMUSG00000001016	Ilf2	0.323756551234219	0.220746641462061
ENSMUSG00000001017	Chtop	0.199918820753028	0.452060442368355
ENSMUSG00000001018	Snapin	0.00608421154563385	0.987611884810134
ENSMUSG00000001020	S100a4	0.360307955586444	0.533910496755708
ENSMUSG00000001021	S100a3	0	1
ENSMUSG00000001023	S100a5	0	1
ENSMUSG00000001025	S100a6	0.0725439586401819	0.892062241041599
ENSMUSG00000001027	Scn4a	0	1
ENSMUSG00000001029	Icam2	-0.348988263001434	0.314303146978351
ENSMUSG00000001034	Mapk7	-0.276716827770347	0.495488554710389
ENSMUSG00000001036	Epn2	0.305054847684058	0.73528138002558
ENSMUSG00000001039	B9d1	0.0845080305632594	0.88395187407284
ENSMUSG00000001052	Sec24b	-0.0120398102243392	0.981648726664727
ENSMUSG00000001053	N4bp3	0.398403510149562	0.671676155961515
ENSMUSG00000001054	Rmnd5b	-0.296223550610446	0.257925258019705
ENSMUSG00000001056	Nhp2	0.27712663918531	0.368246523689706
ENSMUSG00000001062	Vps9d1	-0.198090259140931	0.55748939341347
ENSMUSG00000001065	Zfp276	0.0768850481934617	0.856821985702839
ENSMUSG00000001076	C1ql4	0	1
ENSMUSG00000001082	Mfsd10	-0.137020386554338	0.732391791675448
ENSMUSG00000001089	Luzp1	-0.119646727273184	0.828408487381677
ENSMUSG00000001095	Slc13a2	-1.38514343068933	0.0184095006975723
ENSMUSG00000001098	Kctd10	0.020132895670493	0.959836206623793
ENSMUSG00000001100	Poldip2	0.0683971505381201	0.838646864022186
ENSMUSG00000001103	Sebox	0	1
ENSMUSG00000001105	Ift20	0.279149167952532	0.413670106869063
ENSMUSG00000001119	Col6a1	-0.804022896162658	0.688993616133017
ENSMUSG00000001120	Pcbp3	0.201527145876514	0.686878328586734
ENSMUSG00000001123	Lgals9	-0.494691440675527	0.0670426568403649
ENSMUSG00000001127	Araf	0.0082358369166501	0.980532070507789
ENSMUSG00000001128	Cfp	0.13358720720178	0.732257746511044
ENSMUSG00000001131	Timp1	0.0844728078230722	0.919440745722188
ENSMUSG00000001134	Uxt	0.234709440681211	0.573128734925453
ENSMUSG00000001138	Cnnm3	-0.255685719954947	0.568113115796459
ENSMUSG00000001143	Lman2l	-0.262276464989052	0.392290520255408
ENSMUSG00000001150	Mcm3ap	0.0849934583486607	0.831346145590448
ENSMUSG00000001151	Pcnt	-0.203983920091226	0.684354636087768
ENSMUSG00000001155	Ftcd	0	1
ENSMUSG00000001156	Mxd1	0.00389989537493385	0.993896470335315
ENSMUSG00000001157	Gmcl1	0.201862155336586	0.448450818429575
ENSMUSG00000001158	Snrnp27	0.34523409022659	0.218406559757253
ENSMUSG00000001166	Oas1c	-0.376171699054581	0.289709049863074
ENSMUSG00000001168	Oas1h	0	1
ENSMUSG00000001173	Ocrl	-0.256217803613193	0.427676274937994
ENSMUSG00000001175	Calm1	0.0475418317118026	0.901813728006467
ENSMUSG00000001211	Agpat3	-0.655661069658226	0.0212366214434836
ENSMUSG00000001225	Slc26a3	0	1
ENSMUSG00000001227	Sema6b	-0.0580758266042272	0.913553478522954
ENSMUSG00000001228	Uhrf1	0.16294144729053	0.786063151611533
ENSMUSG00000001229	Dpp9	-0.189242937853457	0.59874468791926
ENSMUSG00000001240	Ramp2	0	1
ENSMUSG00000001247	Lsr	-1.04725122582141	0.26771460373152
ENSMUSG00000001248	Gramd1a	0.00853490786941567	0.982071671469591
ENSMUSG00000001249	Hpn	-0.267717387243564	0.543428934890517
ENSMUSG00000001260	Gabrg1	0	1
ENSMUSG00000001270	Ckb	-1.85699818818198	0.00020589555621374
ENSMUSG00000001280	Sp1	-0.0745842700133411	0.840144882115496
ENSMUSG00000001281	Itgb7	0.177771606004542	0.803111924094832
ENSMUSG00000001285	Myg1	0.133267110889641	0.679775591017756
ENSMUSG00000001288	Rarg	0.293230405740415	0.349300074626043
ENSMUSG00000001289	Pfdn5	0.178937758161054	0.62257891367184
ENSMUSG00000001300	Efnb2	0	1
ENSMUSG00000001305	Rrp15	0.211050187802788	0.475236000510363
ENSMUSG00000001313	Rnd2	-0.472654216700279	0.253075687095931
ENSMUSG00000001323	Srr	-0.228417939480808	0.520580002229351
ENSMUSG00000001333	Sync	0	1
ENSMUSG00000001334	Fndc5	0	1
ENSMUSG00000001348	Acp5	0.660051726872636	0.0670426568403649
ENSMUSG00000001349	Cnn1	0	1
ENSMUSG00000001366	Fbxo9	0.217630926156236	0.489194718663027
ENSMUSG00000001376	Vps50	-0.00501876083055902	0.988322441335896
ENSMUSG00000001380	Hars	0.0550821296357469	0.869172831201712
ENSMUSG00000001383	Zmat2	-0.0179019510117911	0.957446796231039
ENSMUSG00000001403	Ube2c	0.157239982048888	0.799035798029128
ENSMUSG00000001415	Smg5	-0.0842074285341432	0.830294115928303
ENSMUSG00000001416	Cct3	0.424833612645657	0.14575289742747
ENSMUSG00000001418	Glmp	-0.181365657224035	0.521267517232924
ENSMUSG00000001419	Mef2d	-0.160200089652896	0.710073523479612
ENSMUSG00000001420	Tmem79	0	1
ENSMUSG00000001424	Snd1	-0.112330956410364	0.71628659691228
ENSMUSG00000001435	Col18a1	0.21659004924983	0.61257728965043
ENSMUSG00000001436	Slc19a1	-0.284350636406645	0.324873362737317
ENSMUSG00000001440	Kpnb1	-0.0574316204129603	0.891579992317778
ENSMUSG00000001441	Npepps	0.0740834219811067	0.836045844689479
ENSMUSG00000001444	Tbx21	0	1
ENSMUSG00000001445	Mrpl10	0.094122228435797	0.79588262664292
ENSMUSG00000001467	Cyp51	-0.501899697685247	0.11625506614653
ENSMUSG00000001472	Tcf25	0.0869332900345933	0.753863524439467
ENSMUSG00000001473	Tubb6	0.208049358486255	0.466634348444716
ENSMUSG00000001482	Def8	0.329765923145764	0.287341022775645
ENSMUSG00000001493	Meox1	0	1
ENSMUSG00000001494	Sost	0	1
ENSMUSG00000001496	Nkx2-1	0	1
ENSMUSG00000001497	Pax9	0	1
ENSMUSG00000001504	Irx2	0	1
ENSMUSG00000001506	Col1a1	0	1
ENSMUSG00000001507	Itga3	0	1
ENSMUSG00000001508	Sgca	-0.214403407140704	0.876161088307725
ENSMUSG00000001510	Dlx3	0	1
ENSMUSG00000001517	Foxm1	0.0154276936248595	0.984143759659382
ENSMUSG00000001518	Itfg2	0.269266227669663	0.309219594353471
ENSMUSG00000001520	Nrip2	0	1
ENSMUSG00000001521	Tulp3	0.359109776532609	0.264214678001309
ENSMUSG00000001524	Gtf2h4	-0.0196876994758344	0.963374837734282
ENSMUSG00000001525	Tubb5	-0.0391675905057122	0.906721746379699
ENSMUSG00000001542	Ell2	0.411102079116654	0.100255217037237
ENSMUSG00000001552	Jup	-1.72618437160441	0.0222096594291188
ENSMUSG00000001555	Fkbp10	0	1
ENSMUSG00000001558	Klhl10	0	1
ENSMUSG00000001566	Mnx1	0	1
ENSMUSG00000001569	Nom1	-0.096316733526886	0.802481586200333
ENSMUSG00000001576	Ergic1	0.249369022722747	0.324746000247306
ENSMUSG00000001583	Tnk1	0	1
ENSMUSG00000001588	Acap1	0	1
ENSMUSG00000001604	Tcea3	-0.920935267697388	0.0331411138003514
ENSMUSG00000001622	Csn3	0	1
ENSMUSG00000001627	Ifrd1	0.544638374291194	0.0525789532485373
ENSMUSG00000001630	Stk38l	0.053189950766036	0.923418537433236
ENSMUSG00000001632	Brpf1	-0.0655652582043176	0.878756274775174
ENSMUSG00000001642	Akr1b3	-0.14057265818079	0.642531789843639
ENSMUSG00000001655	Hoxc13	0	1
ENSMUSG00000001656	Hoxc11	0	1
ENSMUSG00000001657	Hoxc8	0	1
ENSMUSG00000001661	Hoxc6	0	1
ENSMUSG00000001663	Gstt1	1.31326568175087	0.000297659061814371
ENSMUSG00000001665	Gstt3	0.518216096372863	0.162519662969451
ENSMUSG00000001666	Ddt	1.11611737299442	0.000896916392081034
ENSMUSG00000001670	Tat	0	1
ENSMUSG00000001672	Marveld3	0	1
ENSMUSG00000001674	Ddx18	0.255453649734403	0.373306044343605
ENSMUSG00000001687	Ubl3	-0.416039278391911	0.113296045720639
ENSMUSG00000001700	Gramd3	0.436905040596049	0.234871148293816
ENSMUSG00000001707	Eef1e1	0.298302540367958	0.303978005622913
ENSMUSG00000001729	Akt1	-0.038501310063774	0.903727587314771
ENSMUSG00000001739	Cldn15	0	1
ENSMUSG00000001741	Il16	-0.494204639267989	0.0464723568156061
ENSMUSG00000001750	Tcirg1	-0.0830691556172571	0.862910351092095
ENSMUSG00000001751	Naglu	-0.374773150037088	0.190460712102519
ENSMUSG00000001755	Coasy	-0.136377228678822	0.596763044132446
ENSMUSG00000001761	Smo	-2.08116280446318	0.0108311581348799
ENSMUSG00000001763	Tspan33	-1.07739945442327	0.206467992828093
ENSMUSG00000001767	Crnkl1	0.189833225478115	0.613797539172311
ENSMUSG00000001768	Rin2	0.344283866866875	0.412608590994023
ENSMUSG00000001773	Folh1	0	1
ENSMUSG00000001774	Chordc1	0.44715868493435	0.0652001597834088
ENSMUSG00000001783	Rtcb	0.127899028649828	0.716684407485788
ENSMUSG00000001785	Pwp1	0.495060681165549	0.0576453977295482
ENSMUSG00000001786	Fbxo7	-0.345718600845733	0.220877706278625
ENSMUSG00000001794	Capns1	0.0823207775275891	0.816577778797153
ENSMUSG00000001802	Lrp3	0	1
ENSMUSG00000001804	Dsg4	0	1
ENSMUSG00000001815	Evx2	0	1
ENSMUSG00000001819	Hoxd13	0	1
ENSMUSG00000001823	Hoxd12	0	1
ENSMUSG00000001827	Folr1	0	1
ENSMUSG00000001829	Clpb	-0.081478836694493	0.832415852696023
ENSMUSG00000001833	Sept7	0.161668398968222	0.624838498764014
ENSMUSG00000001844	Zdhhc4	-0.232830348231668	0.395013104522297
ENSMUSG00000001847	Rac1	-0.193675241103066	0.411085082203568
ENSMUSG00000001855	Nup214	-0.228047271844799	0.647361010590689
ENSMUSG00000001864	Aif1l	0	1
ENSMUSG00000001865	Cpa3	0	1
ENSMUSG00000001870	Ltbp1	0	1
ENSMUSG00000001891	Ugp2	0.192592376509554	0.51381495134122
ENSMUSG00000001901	Kcnh6	0	1
ENSMUSG00000001909	Trmt1	-0.0381492017907198	0.910718558973159
ENSMUSG00000001910	Nacc1	0.0127521577275816	0.981952974059038
ENSMUSG00000001911	Nfix	-0.935931783333628	0.245889110248659
ENSMUSG00000001918	Slc1a5	0.123595250856561	0.828448837622516
ENSMUSG00000001924	Uba1	0.484897095519698	0.126804548380444
ENSMUSG00000001930	Vwf	-0.667688917202588	0.343230614451318
ENSMUSG00000001942	Siae	-0.20687197567243	0.488585244743635
ENSMUSG00000001943	Vsig2	0	1
ENSMUSG00000001946	Esam	0	1
ENSMUSG00000001948	Spa17	1.08175453921116	0.174647929579612
ENSMUSG00000001962	Fam50a	0.00499972928462459	0.989309529793154
ENSMUSG00000001964	Emd	0.26462608030744	0.329162343397971
ENSMUSG00000001983	Taco1	0.0212439770772397	0.963795541662332
ENSMUSG00000001985	Grik3	0	1
ENSMUSG00000001986	Gria3	0.140067989196033	0.787213090456593
ENSMUSG00000001988	Npas1	0	1
ENSMUSG00000001995	Sipa1l2	-0.224921925138688	0.615708611153934
ENSMUSG00000001998	Ap4e1	0.0817930323994371	0.810584837309928
ENSMUSG00000001999	Blvra	-0.194075615955038	0.540743086538455
ENSMUSG00000002006	Pdzd4	0	1
ENSMUSG00000002007	Srpk3	-1.28457089070053	0.0544039036615944
ENSMUSG00000002010	Idh3g	-0.0849807901152022	0.765362629946494
ENSMUSG00000002012	Pnck	0	1
ENSMUSG00000002014	Ssr4	0.229550164448453	0.502065641654458
ENSMUSG00000002015	Bcap31	0.127207708993411	0.699274818501643
ENSMUSG00000002017	Fam98a	0.220413446162917	0.388917969262373
ENSMUSG00000002020	Ltbp2	-0.0156682160178218	0.992125823953766
ENSMUSG00000002028	Kmt2a	-0.0065799180474287	0.990758268596698
ENSMUSG00000002031	Ift46	0.0409649342899339	0.917834384391183
ENSMUSG00000002032	Tmem25	0	1
ENSMUSG00000002033	Cd3g	0	1
ENSMUSG00000002043	Trappc6a	-0.0785317164815073	0.843936032053967
ENSMUSG00000002052	Supt6	0.0141170297187269	0.981648726664727
ENSMUSG00000002055	Spag5	0.208714485587412	0.691522416654905
ENSMUSG00000002057	Foxn1	0	1
ENSMUSG00000002058	Unc119	-0.646498525267094	0.0173030506712105
ENSMUSG00000002059	Rab34	0.151687356470329	0.745924916003886
ENSMUSG00000002064	Sdf2	-0.00935099170703123	0.981192351834759
ENSMUSG00000002068	Ccne1	0.160718559832284	0.64434133669858
ENSMUSG00000002076	Hsf2bp	0	1
ENSMUSG00000002083	Bbc3	-0.574215858902941	0.184129774093725
ENSMUSG00000002100	Mybpc3	0.449944108730732	0.322711514201611
ENSMUSG00000002102	Psmc3	0.125530717365873	0.703192384282734
ENSMUSG00000002103	Acp2	-0.0438505294545183	0.92587327302211
ENSMUSG00000002104	Rapsn	-1.27722080223625	0.0565530671449462
ENSMUSG00000002105	Slc39a13	-0.34745771796753	0.294919231350253
ENSMUSG00000002107	Celf2	-0.638090253887858	0.0481268428512295
ENSMUSG00000002108	Nr1h3	0.317738302183358	0.195665671205693
ENSMUSG00000002109	Ddb2	-0.000459734913396805	0.999294489643607
ENSMUSG00000002111	Spi1	-0.233018756476324	0.331861967954963
ENSMUSG00000002129	Sf3a1	0.0452151155518689	0.899182630422837
ENSMUSG00000002147	Stat6	-0.154045885394965	0.667154957047772
ENSMUSG00000002190	Clgn	0	1
ENSMUSG00000002204	Napsa	0.0372227631419496	0.912146719447704
ENSMUSG00000002205	Vrk3	-0.131088719457262	0.628188071574861
ENSMUSG00000002210	Smg9	-0.0273761847399789	0.951732916669837
ENSMUSG00000002221	Paxip1	-0.075209142751445	0.831346145590448
ENSMUSG00000002222	Rmnd5a	-0.0446178492535737	0.919440745722188
ENSMUSG00000002227	Mov10	-1.20369457265668	0.0173442687436291
ENSMUSG00000002228	Ppm1j	0	1
ENSMUSG00000002233	Rhoc	-0.266138651167789	0.566703935972925
ENSMUSG00000002240	Prr27	0	1
ENSMUSG00000002249	Tead3	0	1
ENSMUSG00000002250	Ppard	0.280833411330827	0.347529237581858
ENSMUSG00000002257	Def6	-0.812644178050582	0.00881236437272726
ENSMUSG00000002265	Peg3	0	1
ENSMUSG00000002266	Zim1	0	1
ENSMUSG00000002274	Metrn	-0.379072624793016	0.343913251459333
ENSMUSG00000002279	Lmf1	-0.0703088234559539	0.869799879946974
ENSMUSG00000002280	Narfl	-0.073212943725004	0.823258064148437
ENSMUSG00000002289	Angptl4	-0.762924675305932	0.334480180057449
ENSMUSG00000002297	Dbf4	-0.13533544434431	0.664934781059565
ENSMUSG00000002307	Daxx	-0.458905135624953	0.100719907035189
ENSMUSG00000002308	Cd320	0.412267555293244	0.228698029263184
ENSMUSG00000002319	Ipo4	0.115424070390704	0.755754873703828
ENSMUSG00000002320	Tm9sf1	0.00391392398169421	0.990434393253593
ENSMUSG00000002324	Rec8	0	1
ENSMUSG00000002325	Irf9	-0.215523364414576	0.457631393242208
ENSMUSG00000002326	Gmpr2	0.0423908644553812	0.913736242457145
ENSMUSG00000002329	Mdp1	-0.381014707111863	0.186466355827348
ENSMUSG00000002332	Dhrs1	-0.0440106674002865	0.899841438128955
ENSMUSG00000002341	Ncan	0	1
ENSMUSG00000002342	Tmem161a	-0.0144341606789381	0.970090784401781
ENSMUSG00000002343	Armc6	0.317860510136007	0.338651932595216
ENSMUSG00000002345	Borcs8	-0.0982078869096326	0.787433288873236
ENSMUSG00000002346	Slc25a42	0.672728366486129	0.113185465763832
ENSMUSG00000002365	Snx9	-0.443397785415605	0.0532844255311728
ENSMUSG00000002372	Ranbp3	-0.0678235429362951	0.838091189079647
ENSMUSG00000002379	Ndufa11	0.177101292977656	0.581214242364884
ENSMUSG00000002384	Bmp8b	0	1
ENSMUSG00000002393	Nr2f6	-0.3253578553155	0.287783256494651
